Date,Price,Open,High,Low,Vol.,Change %
7/12/2023,"18,600.00","18,750.00","18,800.00","18,250.00",8.86M,-0.27%
7/11/2023,"18,650.00","18,750.00","18,950.00","18,550.00",11.05M,-0.80%
7/10/2023,"18,800.00","18,550.00","18,900.00","18,400.00",11.24M,2.17%
7/7/2023,"18,400.00","17,400.00","18,450.00","17,200.00",15.39M,5.14%
7/6/2023,"17,500.00","17,700.00","17,900.00","17,200.00",8.69M,-1.13%
7/5/2023,"17,700.00","17,650.00","18,100.00","17,450.00",18.04M,1.14%
7/4/2023,"17,500.00","17,250.00","17,500.00","17,050.00",10.70M,1.74%
7/3/2023,"17,200.00","17,400.00","17,400.00","17,200.00",4.94M,-0.29%
6/30/2023,"17,250.00","17,150.00","17,350.00","17,100.00",5.68M,0.00%
6/29/2023,"17,250.00","18,150.00","18,200.00","17,250.00",14.87M,-4.96%
6/28/2023,"18,150.00","18,050.00","18,350.00","18,000.00",10.93M,0.55%
6/27/2023,"18,050.00","18,250.00","18,250.00","17,750.00",7.50M,-0.28%
6/26/2023,"18,100.00","18,200.00","18,400.00","17,500.00",12.45M,-0.55%
6/23/2023,"18,200.00","17,800.00","18,250.00","17,700.00",16.01M,2.82%
6/22/2023,"17,700.00","17,800.00","17,900.00","17,600.00",11.37M,0.00%
6/21/2023,"17,700.00","16,900.00","17,750.00","16,850.00",17.54M,4.42%
6/20/2023,"16,950.00","16,400.00","16,950.00","16,400.00",5.81M,3.35%
6/19/2023,"16,400.00","16,800.00","16,800.00","16,400.00",7.32M,-2.38%
6/16/2023,"16,800.00","16,900.00","17,200.00","16,650.00",15.75M,0.30%
6/15/2023,"16,750.00","17,100.00","17,150.00","16,650.00",13.48M,-2.05%
6/14/2023,"17,100.00","17,500.00","17,500.00","17,050.00",8.97M,-2.01%
6/13/2023,"17,450.00","16,600.00","17,600.00","16,400.00",21.31M,5.76%
6/12/2023,"16,500.00","16,750.00","16,800.00","16,100.00",10.79M,-1.20%
6/9/2023,"16,700.00","16,400.00","16,700.00","16,150.00",10.67M,2.45%
6/8/2023,"16,300.00","16,700.00","16,850.00","16,300.00",16.30M,-2.40%
6/7/2023,"16,700.00","16,750.00","17,150.00","16,650.00",13.09M,1.83%
6/6/2023,"16,400.00","16,200.00","16,550.00","16,050.00",10.30M,0.92%
6/5/2023,"16,250.00","16,300.00","16,650.00","16,000.00",13.97M,2.52%
6/2/2023,"15,850.00","15,500.00","16,100.00","15,350.00",15.21M,3.26%
6/1/2023,"15,350.00","15,500.00","15,550.00","15,050.00",9.53M,-0.97%
5/31/2023,"15,500.00","15,600.00","15,800.00","15,400.00",12.53M,0.00%
5/30/2023,"15,500.00","15,250.00","15,600.00","15,150.00",16.87M,2.31%
5/29/2023,"15,150.00","14,800.00","15,200.00","14,650.00",6.98M,3.06%
5/26/2023,"14,700.00","14,900.00","14,900.00","14,600.00",4.75M,-1.01%
5/25/2023,"14,850.00","14,700.00","14,950.00","14,600.00",4.06M,0.34%
5/24/2023,"14,800.00","15,200.00","15,200.00","14,800.00",6.70M,-1.99%
5/23/2023,"15,100.00","15,300.00","15,400.00","15,000.00",5.21M,-0.98%
5/22/2023,"15,250.00","14,600.00","15,300.00","14,600.00",8.64M,4.45%
5/19/2023,"14,600.00","14,550.00","14,750.00","14,500.00",3.72M,0.34%
5/18/2023,"14,550.00","14,550.00","14,650.00","14,400.00",5.89M,0.34%
5/17/2023,"14,500.00","14,800.00","14,900.00","14,500.00",7.63M,-2.03%
5/16/2023,"14,800.00","15,000.00","15,150.00","14,700.00",5.61M,-1.33%
5/15/2023,"15,000.00","15,600.00","15,600.00","15,000.00",8.95M,-2.60%
5/12/2023,"15,400.00","15,200.00","15,600.00","15,200.00",7.82M,1.32%
5/11/2023,"15,200.00","15,200.00","15,500.00","15,050.00",8.51M,0.33%
5/10/2023,"15,150.00","15,050.00","15,200.00","14,950.00",4.72M,0.66%
5/9/2023,"15,050.00","14,700.00","15,100.00","14,600.00",11.87M,3.79%
5/8/2023,"14,500.00","14,700.00","14,700.00","14,500.00",2.76M,0.00%
5/5/2023,"14,500.00","14,400.00","14,750.00","14,300.00",3.18M,0.69%
5/4/2023,"14,400.00","14,500.00","14,700.00","14,300.00",3.35M,-1.03%
4/28/2023,"14,550.00","14,500.00","14,650.00","14,450.00",3.12M,0.34%
4/27/2023,"14,500.00","14,800.00","14,850.00","14,500.00",2.54M,-2.03%
4/26/2023,"14,800.00","14,100.00","14,800.00","14,000.00",5.07M,4.96%
4/25/2023,"14,100.00","14,000.00","14,500.00","13,900.00",3.83M,1.81%
4/24/2023,"13,850.00","14,150.00","14,200.00","13,800.00",5.18M,-2.12%
4/21/2023,"14,150.00","14,600.00","14,600.00","14,050.00",7.16M,-3.41%
4/20/2023,"14,650.00","14,650.00","14,700.00","14,500.00",3.07M,0.00%
4/19/2023,"14,650.00","14,900.00","15,000.00","14,650.00",3.68M,-1.68%
4/18/2023,"14,900.00","14,900.00","15,000.00","14,800.00",3.26M,0.68%
4/17/2023,"14,800.00","14,600.00","14,900.00","14,600.00",2.53M,1.02%
4/14/2023,"14,650.00","14,750.00","14,950.00","14,600.00",6.85M,0.34%
4/13/2023,"14,600.00","14,750.00","14,800.00","14,500.00",4.00M,-0.68%
4/12/2023,"14,700.00","14,900.00","15,000.00","14,700.00",4.07M,-1.34%
4/11/2023,"14,900.00","14,400.00","14,900.00","14,400.00",5.87M,3.11%
4/10/2023,"14,450.00","14,650.00","14,950.00","14,400.00",12.80M,-2.36%
4/7/2023,"14,800.00","15,100.00","15,250.00","14,700.00",12.32M,-2.31%
4/6/2023,"15,150.00","15,500.00","15,600.00","15,150.00",13.64M,-1.94%
4/5/2023,"15,450.00","15,300.00","15,500.00","15,200.00",9.15M,0.98%
4/4/2023,"15,300.00","15,050.00","15,450.00","15,050.00",7.83M,0.99%
4/3/2023,"15,150.00","15,450.00","15,650.00","15,100.00",14.41M,-1.62%
3/31/2023,"15,400.00","15,600.00","15,900.00","15,000.00",20.45M,-1.91%
3/30/2023,"15,700.00","16,500.00","16,650.00","15,700.00",26.11M,-4.27%
3/29/2023,"16,400.00","16,050.00","16,600.00","16,050.00",9.10M,2.18%
3/28/2023,"16,050.00","16,500.00","16,500.00","16,050.00",8.42M,-1.53%
3/27/2023,"16,300.00","15,900.00","16,400.00","15,750.00",9.86M,2.52%
3/24/2023,"15,900.00","16,050.00","16,200.00","15,750.00",7.87M,0.00%
3/23/2023,"15,900.00","15,400.00","16,000.00","15,350.00",7.34M,1.92%
3/22/2023,"15,600.00","15,950.00","15,950.00","15,600.00",4.70M,-1.27%
3/21/2023,"15,800.00","15,350.00","15,800.00","15,000.00",8.65M,4.29%
3/20/2023,"15,150.00","15,600.00","15,900.00","15,100.00",9.61M,-3.50%
3/17/2023,"15,700.00","16,000.00","16,100.00","15,600.00",6.59M,-0.32%
3/16/2023,"15,750.00","15,950.00","16,250.00","15,650.00",9.03M,-3.67%
3/15/2023,"16,350.00","15,950.00","16,350.00","15,800.00",8.92M,5.83%
3/14/2023,"15,450.00","16,400.00","16,400.00","15,350.00",21.20M,-5.79%
3/13/2023,"16,400.00","16,500.00","16,800.00","16,200.00",8.54M,-1.80%
3/10/2023,"16,700.00","16,400.00","16,700.00","16,100.00",14.94M,0.30%
3/9/2023,"16,650.00","16,800.00","17,100.00","16,650.00",14.45M,-0.30%
3/8/2023,"16,700.00","16,350.00","16,700.00","16,250.00",13.32M,1.21%
3/7/2023,"16,500.00","15,600.00","16,550.00","15,500.00",24.60M,6.45%
3/6/2023,"15,500.00","15,800.00","16,000.00","15,000.00",8.15M,0.98%
3/3/2023,"15,350.00","15,500.00","16,150.00","15,350.00",18.75M,0.00%
3/2/2023,"15,350.00","15,300.00","15,700.00","15,100.00",10.09M,1.66%
3/1/2023,"15,100.00","14,150.00","15,100.00","13,950.00",8.22M,6.71%
2/28/2023,"14,150.00","14,500.00","14,650.00","13,950.00",6.48M,-0.35%
2/27/2023,"14,200.00","14,800.00","14,800.00","14,200.00",10.33M,-5.33%
2/24/2023,"15,000.00","15,700.00","15,750.00","14,900.00",7.63M,-3.85%
2/23/2023,"15,600.00","15,050.00","15,600.00","14,500.00",13.39M,2.97%
2/22/2023,"15,150.00","14,900.00","16,000.00","14,900.00",20.54M,-0.98%
2/21/2023,"15,300.00","15,900.00","15,950.00","15,300.00",13.90M,-2.86%
2/20/2023,"15,750.00","15,350.00","15,800.00","15,300.00",13.92M,3.62%
2/17/2023,"15,200.00","15,100.00","15,350.00","14,900.00",10.86M,1.00%
2/16/2023,"15,050.00","14,300.00","15,050.00","14,100.00",13.95M,6.74%
2/15/2023,"14,100.00","13,800.00","14,450.00","13,700.00",9.54M,2.17%
2/14/2023,"13,800.00","13,650.00","14,050.00","13,600.00",6.11M,2.22%
2/13/2023,"13,500.00","13,350.00","13,700.00","12,900.00",7.33M,0.00%
2/10/2023,"13,500.00","13,650.00","13,900.00","13,300.00",6.52M,-1.10%
2/9/2023,"13,650.00","14,000.00","14,200.00","13,650.00",4.43M,-2.50%
2/8/2023,"14,000.00","13,400.00","14,050.00","12,850.00",11.11M,6.46%
2/7/2023,"13,150.00","14,100.00","14,400.00","13,150.00",13.33M,-6.74%
2/6/2023,"14,100.00","14,000.00","14,200.00","13,700.00",6.13M,0.00%
2/3/2023,"14,100.00","14,200.00","14,550.00","13,700.00",8.19M,0.00%
2/2/2023,"14,100.00","14,800.00","14,950.00","14,050.00",11.99M,-4.73%
2/1/2023,"14,800.00","15,950.00","16,300.00","14,800.00",26.77M,-6.92%
1/31/2023,"15,900.00","15,600.00","15,900.00","15,450.00",9.63M,0.95%
1/30/2023,"15,750.00","15,850.00","16,400.00","15,400.00",12.15M,0.00%
1/27/2023,"15,750.00","15,500.00","16,000.00","15,050.00",13.39M,1.61%
1/19/2023,"15,500.00","15,350.00","15,650.00","15,100.00",11.76M,0.32%
1/18/2023,"15,450.00","15,700.00","15,800.00","15,300.00",8.39M,-0.32%
1/17/2023,"15,500.00","14,750.00","15,500.00","14,600.00",16.06M,6.90%
1/16/2023,"14,500.00","14,150.00","14,700.00","13,950.00",9.38M,3.20%
1/13/2023,"14,050.00","14,450.00","14,700.00","13,900.00",7.79M,-0.71%
1/12/2023,"14,150.00","14,000.00","14,300.00","13,800.00",6.48M,1.80%
1/11/2023,"13,900.00","13,700.00","14,400.00","13,600.00",13.43M,2.96%
1/10/2023,"13,500.00","13,100.00","13,700.00","12,600.00",9.01M,3.05%
1/9/2023,"13,100.00","13,650.00","13,650.00","13,100.00",7.65M,-1.13%
1/6/2023,"13,250.00","13,800.00","13,950.00","13,100.00",8.65M,-4.33%
1/5/2023,"13,850.00","13,450.00","13,950.00","13,100.00",9.74M,3.75%
1/4/2023,"13,350.00","13,600.00","13,800.00","13,250.00",7.89M,1.91%
1/3/2023,"13,100.00","12,350.00","13,100.00","12,350.00",8.70M,6.94%
12/30/2022,"12,250.00","12,450.00","12,500.00","12,100.00",3.90M,0.00%
12/29/2022,"12,250.00","12,350.00","12,600.00","12,000.00",5.60M,-0.81%
12/28/2022,"12,350.00","12,600.00","12,750.00","12,350.00",5.82M,0.00%
12/27/2022,"12,350.00","11,500.00","12,350.00","11,300.00",9.21M,6.93%
12/26/2022,"11,550.00","12,050.00","12,350.00","11,550.00",12.09M,-6.85%
12/23/2022,"12,400.00","13,250.00","13,300.00","12,400.00",12.51M,-6.77%
12/22/2022,"13,300.00","14,000.00","14,150.00","12,900.00",10.90M,-3.62%
12/21/2022,"13,800.00","14,900.00","14,950.00","13,650.00",13.40M,-5.80%
12/20/2022,"14,650.00","14,100.00","14,900.00","13,350.00",25.88M,3.90%
12/19/2022,"14,100.00","14,500.00","15,050.00","14,100.00",20.97M,0.00%
12/16/2022,"14,100.00","13,000.00","14,100.00","13,000.00",15.19M,6.82%
12/15/2022,"13,200.00","12,800.00","13,400.00","12,800.00",11.71M,1.54%
12/14/2022,"13,000.00","13,300.00","13,500.00","12,900.00",10.37M,0.00%
12/13/2022,"13,000.00","12,450.00","13,000.00","11,950.00",9.15M,4.42%
12/12/2022,"12,450.00","13,500.00","13,800.00","12,400.00",12.49M,-6.39%
12/9/2022,"13,300.00","12,800.00","13,450.00","12,350.00",11.99M,4.72%
12/8/2022,"12,700.00","12,100.00","12,700.00","12,050.00",12.38M,6.72%
12/7/2022,"11,900.00","11,950.00","12,400.00","11,650.00",14.65M,-4.80%
12/6/2022,"12,500.00","13,300.00","13,350.00","12,500.00",22.94M,-6.72%
12/5/2022,"13,400.00","13,300.00","13,400.00","12,800.00",13.86M,6.77%
12/2/2022,"12,550.00","11,700.00","12,550.00","11,650.00",12.68M,6.81%
12/1/2022,"11,750.00","11,300.00","11,750.00","11,200.00",27.61M,6.82%
11/30/2022,"11,000.00","10,900.00","11,250.00","10,550.00",10.02M,1.38%
11/29/2022,"10,850.00","10,700.00","11,200.00","10,150.00",12.84M,2.84%
11/28/2022,"10,550.00","10,300.00","10,550.00","10,100.00",12.16M,6.57%
11/25/2022,"9,900.00","9,490.00","9,900.00","9,350.00",6.66M,6.57%
11/24/2022,"9,290.00","8,500.00","9,290.00","8,420.00",6.61M,6.78%
11/23/2022,"8,700.00","9,100.00","9,400.00","8,700.00",6.96M,-5.43%
11/22/2022,"9,200.00","9,650.00","10,150.00","9,100.00",12.63M,-4.76%
11/21/2022,"9,660.00","9,130.00","9,660.00","9,100.00",7.18M,6.74%
11/18/2022,"9,050.00","8,790.00","9,050.00","8,400.00",17.25M,6.97%
11/17/2022,"8,460.00","8,440.00","8,460.00","8,200.00",3.72M,6.95%
11/16/2022,"7,910.00","6,980.00","7,910.00","6,890.00",8.09M,6.89%
11/15/2022,"7,400.00","7,720.00","8,180.00","7,400.00",7.99M,-6.92%
11/14/2022,"7,950.00","7,870.00","8,160.00","7,830.00",9.05M,-5.47%
11/11/2022,"8,410.00","8,510.00","9,050.00","8,410.00",10.95M,-6.97%
11/10/2022,"9,040.00","9,200.00","9,500.00","9,040.00",4.19M,-7.00%
11/9/2022,"9,720.00","10,450.00","10,700.00","9,720.00",8.39M,-6.99%
11/8/2022,"10,450.00","10,450.00","10,800.00","10,450.00",7.01M,-6.70%
11/7/2022,"11,200.00","11,600.00","12,000.00","11,200.00",7.31M,-6.67%
11/4/2022,"12,000.00","12,800.00","12,900.00","12,000.00",8.16M,-6.98%
11/3/2022,"12,900.00","13,250.00","13,400.00","12,800.00",4.04M,-4.09%
11/2/2022,"13,450.00","12,900.00","13,450.00","12,900.00",6.24M,4.26%
11/1/2022,"12,900.00","13,850.00","14,100.00","12,800.00",11.65M,-4.80%
10/31/2022,"13,550.00","13,550.00","13,950.00","13,550.00",10.70M,-6.87%
10/28/2022,"14,550.00","15,900.00","15,900.00","14,550.00",11.81M,-6.73%
10/27/2022,"15,600.00","14,750.00","15,700.00","14,550.00",8.06M,5.76%
10/26/2022,"14,750.00","15,500.00","15,500.00","14,550.00",3.00M,-2.96%
10/25/2022,"15,200.00","14,500.00","15,750.00","14,000.00",8.40M,3.05%
10/24/2022,"14,750.00","15,650.00","15,850.00","14,750.00",6.96M,-6.94%
10/21/2022,"15,850.00","17,100.00","17,100.00","15,850.00",9.34M,-6.76%
10/20/2022,"17,000.00","17,000.00","17,350.00","16,800.00",4.86M,0.00%
10/19/2022,"17,000.00","17,450.00","17,500.00","17,000.00",3.94M,-3.13%
10/18/2022,"17,550.00","17,800.00","17,900.00","17,300.00",5.89M,0.29%
10/17/2022,"17,500.00","17,000.00","17,500.00","16,750.00",5.47M,0.86%
10/14/2022,"17,350.00","17,600.00","17,700.00","17,200.00",6.16M,0.29%
10/13/2022,"17,300.00","17,000.00","17,450.00","16,900.00",5.17M,0.58%
10/12/2022,"17,200.00","16,350.00","17,250.00","16,350.00",7.16M,6.50%
10/11/2022,"16,150.00","16,200.00","16,750.00","15,700.00",8.44M,0.00%
10/10/2022,"16,150.00","14,750.00","16,150.00","14,600.00",8.79M,6.95%
10/7/2022,"15,100.00","15,300.00","15,800.00","15,100.00",8.17M,-6.79%
10/6/2022,"16,200.00","17,500.00","17,500.00","16,200.00",8.06M,-6.90%
10/5/2022,"17,400.00","17,100.00","17,500.00","16,800.00",3.63M,4.82%
10/4/2022,"16,600.00","17,350.00","17,450.00","16,600.00",7.78M,-2.64%
10/3/2022,"17,050.00","18,300.00","18,300.00","17,050.00",7.26M,-6.83%
9/30/2022,"18,300.00","18,200.00","18,500.00","17,050.00",8.76M,0.00%
9/29/2022,"18,300.00","19,600.00","19,600.00","18,300.00",6.51M,-3.68%
9/28/2022,"19,000.00","19,050.00","19,700.00","18,800.00",9.35M,-1.55%
9/27/2022,"19,300.00","20,150.00","20,250.00","19,300.00",6.68M,-3.26%
9/26/2022,"19,950.00","20,500.00","20,900.00","19,700.00",13.45M,-5.67%
9/23/2022,"21,150.00","21,450.00","21,750.00","21,100.00",8.40M,-1.63%
9/22/2022,"21,500.00","20,500.00","21,550.00","20,500.00",8.52M,3.12%
9/21/2022,"20,850.00","20,600.00","21,300.00","20,400.00",6.71M,0.48%
9/20/2022,"20,750.00","20,900.00","21,100.00","20,000.00",9.26M,0.48%
9/19/2022,"20,650.00","22,200.00","22,350.00","20,650.00",21.12M,-6.98%
9/16/2022,"22,200.00","23,000.00","23,100.00","22,100.00",15.91M,-4.31%
9/15/2022,"23,200.00","23,850.00","23,950.00","23,200.00",10.49M,-1.90%
9/14/2022,"23,650.00","23,000.00","23,750.00","22,800.00",17.74M,1.07%
9/13/2022,"23,400.00","23,300.00","23,500.00","22,750.00",13.34M,0.43%
9/12/2022,"23,300.00","23,300.00","23,850.00","23,000.00",17.96M,1.30%
9/9/2022,"23,000.00","22,100.00","23,000.00","21,000.00",16.17M,5.50%
9/8/2022,"21,800.00","22,900.00","22,950.00","21,800.00",13.23M,-3.33%
9/7/2022,"22,550.00","22,850.00","23,200.00","22,350.00",29.13M,0.00%
9/6/2022,"22,550.00","23,200.00","23,200.00","22,500.00",14.90M,-0.44%
9/5/2022,"22,650.00","21,550.00","22,650.00","21,500.00",27.83M,6.84%
8/31/2022,"21,200.00","20,600.00","21,600.00","20,600.00",6.16M,0.71%
8/30/2022,"21,050.00","21,550.00","21,800.00","21,050.00",8.10M,-1.64%
8/29/2022,"21,400.00","21,000.00","21,500.00","20,650.00",14.24M,-2.51%
8/26/2022,"21,950.00","22,550.00","22,600.00","21,850.00",10.00M,-2.44%
8/25/2022,"22,500.00","22,150.00","22,800.00","21,950.00",16.97M,2.51%
8/24/2022,"21,950.00","22,250.00","22,300.00","21,850.00",11.31M,-0.45%
8/23/2022,"22,050.00","21,400.00","22,050.00","21,350.00",8.91M,2.56%
8/22/2022,"21,500.00","21,200.00","21,900.00","21,000.00",8.85M,0.70%
8/19/2022,"21,350.00","21,800.00","22,000.00","21,250.00",12.75M,-2.06%
8/18/2022,"21,800.00","21,700.00","22,100.00","21,600.00",8.38M,0.23%
8/17/2022,"21,750.00","22,200.00","22,350.00","21,600.00",14.18M,-2.03%
8/16/2022,"22,200.00","21,750.00","22,800.00","21,600.00",19.47M,2.07%
8/15/2022,"21,750.00","21,800.00","22,150.00","21,600.00",10.08M,0.00%
8/12/2022,"21,750.00","20,600.00","22,000.00","20,550.00",14.26M,5.58%
8/11/2022,"20,600.00","21,750.00","21,800.00","20,550.00",16.85M,-4.19%
8/10/2022,"21,500.00","21,700.00","22,000.00","21,150.00",12.14M,-1.38%
8/9/2022,"21,800.00","22,000.00","22,100.00","21,550.00",11.43M,0.46%
8/8/2022,"21,700.00","20,950.00","21,700.00","20,800.00",17.05M,4.08%
8/5/2022,"20,850.00","20,400.00","21,050.00","20,300.00",8.94M,0.72%
8/4/2022,"20,700.00","20,850.00","21,350.00","20,600.00",14.04M,0.00%
8/3/2022,"20,700.00","19,100.00","20,700.00","19,000.00",20.93M,6.98%
8/2/2022,"19,350.00","19,100.00","19,550.00","19,050.00",8.95M,1.84%
8/1/2022,"19,000.00","17,800.00","19,000.00","17,800.00",15.79M,6.74%
7/29/2022,"17,800.00","18,000.00","18,150.00","17,800.00",5.57M,0.56%
7/28/2022,"17,700.00","17,700.00","18,000.00","17,550.00",4.79M,2.31%
7/27/2022,"17,300.00","17,100.00","17,450.00","17,050.00",6.79M,-1.14%
7/26/2022,"17,500.00","18,350.00","18,700.00","17,500.00",11.83M,-5.41%
7/25/2022,"18,500.00","19,000.00","19,100.00","18,500.00",7.42M,-3.90%
7/22/2022,"19,250.00","19,350.00","19,600.00","19,200.00",6.99M,-1.03%
7/21/2022,"19,450.00","19,300.00","19,800.00","19,300.00",6.94M,1.04%
7/20/2022,"19,250.00","18,900.00","19,550.00","18,800.00",11.25M,2.94%
7/19/2022,"18,700.00","19,100.00","19,200.00","18,650.00",7.47M,-3.11%
7/18/2022,"19,300.00","20,100.00","20,100.00","19,100.00",8.21M,-3.02%
7/15/2022,"19,900.00","19,700.00","20,600.00","19,650.00",13.35M,2.05%
7/14/2022,"19,500.00","19,200.00","19,600.00","18,900.00",6.93M,0.52%
7/13/2022,"19,400.00","19,300.00","19,950.00","19,150.00",10.56M,0.52%
7/12/2022,"19,300.00","18,800.00","19,800.00","18,500.00",8.62M,2.66%
7/11/2022,"18,800.00","18,800.00","19,250.00","18,350.00",6.82M,-1.05%
7/8/2022,"19,000.00","18,600.00","19,250.00","18,550.00",9.00M,3.26%
7/7/2022,"18,400.00","18,700.00","18,850.00","17,950.00",4.85M,-0.54%
7/6/2022,"18,500.00","18,400.00","19,250.00","18,100.00",9.76M,-1.07%
7/5/2022,"18,700.00","18,550.00","19,450.00","18,500.00",12.39M,0.00%
7/4/2022,"18,700.00","19,000.00","19,100.00","18,500.00",6.41M,0.00%
7/1/2022,"18,700.00","17,800.00","18,700.00","17,100.00",6.90M,5.06%
6/30/2022,"17,800.00","18,950.00","19,450.00","17,800.00",8.25M,-6.07%
6/29/2022,"18,950.00","17,800.00","19,200.00","17,800.00",9.02M,4.12%
6/28/2022,"18,200.00","18,400.00","18,800.00","17,950.00",5.29M,-1.09%
6/27/2022,"18,400.00","17,400.00","18,400.00","16,900.00",8.14M,6.36%
6/24/2022,"17,300.00","16,850.00","17,900.00","16,800.00",7.84M,3.28%
6/23/2022,"16,750.00","16,550.00","16,800.00","16,200.00",2.85M,1.52%
6/22/2022,"16,500.00","16,150.00","16,700.00","15,750.00",7.63M,5.43%
6/21/2022,"15,650.00","15,800.00","17,000.00","15,600.00",7.05M,-6.29%
6/20/2022,"16,700.00","17,300.00","18,300.00","16,700.00",10.10M,-6.96%
6/17/2022,"17,950.00","18,200.00","18,400.00","17,950.00",6.27M,-6.75%
6/16/2022,"19,250.00","19,950.00","20,100.00","19,200.00",5.90M,-0.26%
6/15/2022,"19,300.00","20,200.00","21,000.00","19,300.00",9.93M,-6.76%
6/14/2022,"20,700.00","21,000.00","21,750.00","20,450.00",9.67M,-5.69%
6/13/2022,"21,950.00","22,600.00","23,000.00","21,950.00",8.16M,-6.99%
6/10/2022,"23,600.00","24,000.00","24,850.00","23,550.00",10.22M,-1.05%
6/9/2022,"23,850.00","22,500.00","23,850.00","22,300.00",13.55M,6.95%
6/8/2022,"22,300.00","22,100.00","22,300.00","21,400.00",5.75M,4.21%
6/7/2022,"21,400.00","22,250.00","22,500.00","21,200.00",5.92M,-5.73%
6/6/2022,"22,700.00","23,800.00","24,050.00","22,500.00",5.01M,-4.62%
6/3/2022,"23,800.00","23,950.00","24,200.00","23,550.00",5.56M,2.73%
6/2/2022,"23,166.70","23,166.70","23,729.70","22,925.30",6.91M,0.00%
6/1/2022,"23,166.70","24,091.70","24,131.90","22,925.30",12.67M,-3.84%
5/31/2022,"24,091.70","24,936.30","24,936.30","23,971.10",9.17M,-3.39%
5/30/2022,"24,936.30","25,177.70","25,177.70","24,735.20",6.74M,-0.16%
5/27/2022,"24,976.60","24,131.90","25,740.70","23,770.00",14.44M,3.16%
5/26/2022,"24,212.40","24,131.90","24,695.00","24,011.30",5.90M,1.18%
5/25/2022,"23,930.80","22,603.60","24,131.90","22,040.50",11.61M,4.94%
5/24/2022,"22,804.70","24,292.80","24,493.90","22,442.70",11.37M,-5.50%
5/23/2022,"24,131.90","23,971.10","24,654.80","23,568.90",8.97M,1.01%
5/20/2022,"23,890.60","22,925.30","23,971.10","22,925.30",7.84M,3.48%
5/19/2022,"23,086.20","22,684.00","23,448.20","22,684.00",4.55M,-1.03%
5/18/2022,"23,327.50","23,247.10","23,609.10","22,563.40",8.05M,5.65%
5/17/2022,"22,080.70","20,110.00","22,080.70","19,707.80",9.33M,6.81%
5/16/2022,"20,673.00","22,201.40","23,005.80","20,673.00",6.59M,-6.88%
5/13/2022,"22,201.40","22,764.50","23,850.40","22,201.40",6.66M,-6.91%
5/12/2022,"23,850.40","25,298.30","25,539.60","23,850.40",5.76M,-6.91%
5/11/2022,"25,620.10","25,901.60","26,102.70","24,976.60",5.13M,-0.78%
5/10/2022,"25,821.20","24,172.20","25,821.20","24,172.20",5.72M,0.00%
5/9/2022,"25,821.20","27,027.80","27,631.10","25,821.20",5.21M,-6.96%
5/6/2022,"27,751.70","26,585.40","29,682.30","26,585.40",6.73M,-1.15%
5/5/2022,"28,073.50","29,159.40","29,159.40","27,068.00",4.90M,-1.97%
5/4/2022,"28,636.60","29,601.80","29,762.70","28,194.20",6.29M,-4.69%
4/29/2022,"30,044.30","29,280.10","30,164.90","28,958.30",4.25M,2.33%
4/28/2022,"29,360.50","29,360.50","29,923.60","29,199.60",4.97M,0.55%
4/27/2022,"29,199.60","28,314.80","29,239.90","27,751.70",5.52M,3.12%
4/26/2022,"28,314.80","26,545.10","28,314.80","26,424.50",6.93M,0.00%
4/25/2022,"28,314.80","30,406.20","30,687.80","28,314.80",7.10M,-6.88%
4/22/2022,"30,406.20","31,371.50","31,733.50","28,958.30",6.87M,-1.56%
4/21/2022,"30,888.90","30,245.40","31,170.40","29,722.50",4.99M,1.05%
4/20/2022,"30,567.10","30,567.10","31,532.40","30,164.90",6.76M,0.13%
4/19/2022,"30,526.90","33,342.30","33,744.50","30,526.90",6.12M,-6.99%
4/18/2022,"32,819.40","34,589.10","34,589.10","32,336.80",6.33M,-5.34%
4/15/2022,"34,669.60","34,991.30","35,393.50","34,589.10",3.51M,-0.92%
4/14/2022,"34,991.30","34,589.10","35,554.40","33,945.60",6.06M,2.59%
4/13/2022,"34,106.50","33,664.10","34,106.50","32,336.80",7.85M,1.44%
4/12/2022,"33,623.80","36,197.90","36,519.70","33,623.80",9.06M,-6.90%
4/8/2022,"36,117.50","37,404.50","37,525.20","35,795.70",7.53M,-3.34%
4/7/2022,"37,364.30","38,490.40","38,490.40","37,203.40",5.11M,-2.21%
4/6/2022,"38,208.90","37,404.50","38,772.00","37,404.50",7.13M,1.17%
4/5/2022,"37,766.50","38,369.80","38,892.60","37,484.90",7.10M,-1.16%
4/4/2022,"38,208.90","38,611.10","38,932.90","38,007.80",5.60M,-1.04%
4/1/2022,"38,611.10","37,163.20","38,973.10","37,042.50",8.85M,1.80%
3/31/2022,"37,927.40","39,697.00","40,059.00","36,921.90",20.66M,-4.17%
3/30/2022,"39,576.40","40,622.10","41,426.50","39,134.00",17.45M,-3.53%
3/29/2022,"41,024.30","42,230.90","42,230.90","40,622.10",11.80M,-1.54%
3/28/2022,"41,667.80","40,219.90","41,828.70","39,415.50",21.29M,3.70%
3/25/2022,"40,179.70","39,254.60","40,541.70","38,731.80",16.60M,2.15%
3/24/2022,"39,335.10","39,495.90","39,978.60","39,254.60",7.91M,0.21%
3/23/2022,"39,254.60","40,219.90","40,219.90","39,254.60",10.07M,-1.11%
3/22/2022,"39,697.00","38,048.00","39,697.00","37,404.50",12.55M,4.33%
3/21/2022,"38,048.00","38,450.20","38,530.70","37,806.70",8.35M,2.38%
